id,name
res_subdistrict_4898,ต.เมืองทุ่ง
res_subdistrict_616,ต.ชมสะอาด
res_subdistrict_672,ต.ชุมพร
res_subdistrict_2176,ต.บุ่งเลิศ
res_subdistrict_4885,ต.เมยวดี
res_subdistrict_791,ต.ดงแดง
res_subdistrict_907,ต.ดู่น้อย
res_subdistrict_1843,ต.น้ำใส
res_subdistrict_2683,ต.ป่าสังข์
res_subdistrict_3531,ต.ศรีโคตร
res_subdistrict_4537,ต.อีง่อง
res_subdistrict_4923,ต.เมืองหงส์
res_subdistrict_5353,ต.โคกล่าม
res_subdistrict_5019,ต.เหล่า
res_subdistrict_3516,ต.ศรีสว่าง
res_subdistrict_2319,ต.บ้านบาก
res_subdistrict_902,ต.ดูกอึ่ง
res_subdistrict_3814,ต.สาวแห
res_subdistrict_4816,ต.เด่นราษฎร์
res_subdistrict_2126,ต.บึงนคร
res_subdistrict_1278,ต.ทุ่งเขาหลวง
res_subdistrict_2977,ต.มะบ้า
res_subdistrict_4839,ต.เทอดไทย
res_subdistrict_1436,ต.ท่าหาดยาว
res_subdistrict_1499,ต.ธงธานี
res_subdistrict_1504,ต.ธวัชบุรี
res_subdistrict_1781,ต.นิเวศน์
res_subdistrict_2985,ต.มะอึ
res_subdistrict_3138,ต.ราชธานี
res_subdistrict_4554,ต.อุ่มเม้า
res_subdistrict_4653,ต.เขวาทุ่ง
res_subdistrict_3515,ต.ศรีสมเด็จ
res_subdistrict_3655,ต.สวนจิก
res_subdistrict_4198,ต.หนองแวงควง
res_subdistrict_4931,ต.เมืองเปลือย
res_subdistrict_5526,ต.โพธิ์สัย
res_subdistrict_2398,ต.บ้านเขือง
res_subdistrict_2814,ต.พระเจ้า
res_subdistrict_4258,ต.หมูม้น
res_subdistrict_4783,ต.เชียงขวัญ
res_subdistrict_3992,ต.หนองตูม
res_subdistrict_2279,ต.บ้านดอน
res_subdistrict_2318,ต.บ้านบัว
res_subdistrict_2354,ต.บ้านยาง
res_subdistrict_5464,ต.โนนสำราญ
res_subdistrict_4444,ต.ห้วยยาง
res_subdistrict_2388,ต.บ้านหัน
res_subdistrict_5544,ต.โพนทอง
res_subdistrict_5433,ต.โนนทอง
res_subdistrict_2233,ต.บ้านกอก
res_subdistrict_2408,ต.บ้านเป้า
res_subdistrict_2403,ต.บ้านเดื่อ
res_subdistrict_72,ต.กวางโจน
res_subdistrict_171,ต.กุดยม
res_subdistrict_1507,ต.ธาตุทอง
res_subdistrict_2409,ต.บ้านเพชร
res_subdistrict_2429,ต.บ้านแก้ง
res_subdistrict_2714,ต.ผักปัง
res_subdistrict_3945,ต.หนองคอนไทย
res_subdistrict_5364,ต.โคกสะอาด
res_subdistrict_5591,ต.โอโล
res_subdistrict_97,ต.กะฮาด
res_subdistrict_1064,ต.ตาเนิน
res_subdistrict_3120,ต.รังงาม
res_subdistrict_3961,ต.หนองฉิม
res_subdistrict_5483,ต.โนนแดง
res_subdistrict_5462,ต.โนนสะอาด
res_subdistrict_4023,ต.หนองบัวบาน
res_subdistrict_2243,ต.บ้านขาม
res_subdistrict_154,ต.กุดชุมแสง
res_subdistrict_1112,ต.ถ้ำวัวแดง
res_subdistrict_1475,ต.ท่าใหญ่
res_subdistrict_1582,ต.นางแดด
res_subdistrict_3325,ต.วังชมภู
res_subdistrict_4033,ต.หนองบัวแดง
res_subdistrict_158,ต.กุดตุ้ม
res_subdistrict_666,ต.ชีลอง
res_subdistrict_725,ต.ซับสีทอง
res_subdistrict_1438,ต.ท่าหินโงม
res_subdistrict_1640,ต.นาฝาย
res_subdistrict_1730,ต.นาเสียว
res_subdistrict_2171,ต.บุ่งคล้า
res_subdistrict_2256,ต.บ้านค่าย
res_subdistrict_2418,ต.บ้านเล่า
res_subdistrict_3225,ต.ลาดใหญ่
res_subdistrict_4009,ต.หนองนาแซง
res_subdistrict_4417,ต.ห้วยต้อน
res_subdistrict_4428,ต.ห้วยบง
res_subdistrict_3193,ต.ละหาน
res_subdistrict_3886,ต.ส้มป่อย
res_subdistrict_4034,ต.หนองบัวโคก
res_subdistrict_4036,ต.หนองบัวใหญ่
res_subdistrict_4208,ต.หนองโดน
res_subdistrict_4498,ต.ห้วยไร่
res_subdistrict_2437,ต.บ้านแท่น
res_subdistrict_5421,ต.โนนคูณ
res_subdistrict_429,ต.คอนสวรรค์
res_subdistrict_187,ต.กุดเลาะ
res_subdistrict_3631,ต.สระโพนทอง
res_subdistrict_3939,ต.หนองข่า
res_subdistrict_4213,ต.หนองโพนงาม
res_subdistrict_5412,ต.โนนกอก
res_subdistrict_751,ต.ดงบัง
res_subdistrict_3948,ต.หนองคู
res_subdistrict_4108,ต.หนองสังข์
res_subdistrict_1684,ต.นาหนองทุ่ม
res_subdistrict_2488,ต.บ้านไร่
res_subdistrict_3345,ต.วังทอง
res_subdistrict_688,ต.ช่องสามหมอ
res_subdistrict_2473,ต.บ้านโสก
res_subdistrict_3074,ต.ยางหวาย
res_subdistrict_3521,ต.ศรีสำราญ
res_subdistrict_5347,ต.โคกมั่งงอย
res_subdistrict_431,ต.คอนสาร
res_subdistrict_1230,ต.ทุ่งนาเลา
res_subdistrict_1244,ต.ทุ่งพระ
res_subdistrict_1259,ต.ทุ่งลุยลาย
res_subdistrict_4315,ต.หัวทะเล
res_subdistrict_665,ต.ชีบน
res_subdistrict_951,ต.ตลาดแร้ง
res_subdistrict_2397,ต.บ้านเขว้า
res_subdistrict_2943,ต.ภูแลนคา
res_subdistrict_3298,ต.ลุ่มลำชี
res_subdistrict_1398,ต.ท่ามะไฟหวาน
res_subdistrict_4277,ต.หลุบคา
res_subdistrict_4649,ต.เก่าย่าดี
res_subdistrict_5317,ต.โคกกุง
res_subdistrict_727,ต.ซับใหญ่
res_subdistrict_1005,ต.ตะโกทอง
res_subdistrict_1305,ต.ท่ากูบ
res_subdistrict_3617,ต.สระพัง
res_subdistrict_2288,ต.บ้านตาล
res_subdistrict_1659,ต.นายางกลัก
res_subdistrict_3304,ต.วะตะแบก
res_subdistrict_4448,ต.ห้วยยายจิ๋ว
res_subdistrict_5493,ต.โป่งนก
res_subdistrict_2269,ต.บ้านชวน
res_subdistrict_4611,ต.เกาะมะนาว
res_subdistrict_5382,ต.โคกเพชรพัฒนา
res_subdistrict_5384,ต.โคกเริงรมย์
res_subdistrict_2399,ต.บ้านเจียง
res_subdistrict_4760,ต.เจาทอง
res_subdistrict_5288,ต.แหลมทอง
res_subdistrict_2404,ต.บ้านเต่า
res_subdistrict_3787,ต.สามสวน
res_subdistrict_3339,ต.วังตะเฆ่
res_subdistrict_4024,ต.หนองบัวระเหว
res_subdistrict_4485,ต.ห้วยแย้
res_subdistrict_5583,ต.โสกปลาดุก
res_subdistrict_1601,ต.นาดี
res_subdistrict_5541,ต.โพนงาม
res_subdistrict_5535,ต.โพธิ์ไทร
res_subdistrict_1435,ต.ท่าหลวง
res_subdistrict_3522,ต.ศรีสุข
res_subdistrict_37,ต.กระเดียน
res_subdistrict_172,ต.กุดยาลวน
res_subdistrict_200,ต.กุศกร
res_subdistrict_268,ต.ขุหลุ
res_subdistrict_430,ต.คอนสาย
res_subdistrict_467,ต.คำเจริญ
res_subdistrict_935,ต.ตระการ
res_subdistrict_1025,ต.ตากแดด
res_subdistrict_1116,ต.ถ้ำแข้
res_subdistrict_1645,ต.นาพิน
res_subdistrict_1675,ต.นาสะไม
res_subdistrict_2434,ต.บ้านแดง
res_subdistrict_3702,ต.สะพือ
res_subdistrict_4161,ต.หนองเต่า
res_subdistrict_4434,ต.ห้วยฝ้ายพัฒนา
res_subdistrict_4587,ต.เกษม
res_subdistrict_4811,ต.เซเป็ด
res_subdistrict_4873,ต.เป้า
res_subdistrict_5327,ต.โคกจาน
res_subdistrict_5415,ต.โนนกุง
res_subdistrict_5702,ต.ไหล่ทุ่ง
res_subdistrict_51,ต.กระโสบ
res_subdistrict_174,ต.กุดลาด
res_subdistrict_247,ต.ขามใหญ่
res_subdistrict_2500,ต.ปทุม
res_subdistrict_2561,ต.ปะอาว
res_subdistrict_3932,ต.หนองขอน
res_subdistrict_4039,ต.หนองบ่อ
res_subdistrict_4334,ต.หัวเรือ
res_subdistrict_5090,ต.แจระแม
res_subdistrict_5684,ต.ไร่น้อย
res_subdistrict_165,ต.กุดประทาย
res_subdistrict_444,ต.คำครั่ง
res_subdistrict_930,ต.ตบหู
res_subdistrict_1281,ต.ทุ่งเทิง
res_subdistrict_1471,ต.ท่าโพธิ์ศรี
res_subdistrict_1545,ต.นากระแซง
res_subdistrict_1683,ต.นาส่วง
res_subdistrict_1713,ต.นาเจริญ
res_subdistrict_1867,ต.บัวงาม
res_subdistrict_2704,ต.ป่าโมง
res_subdistrict_3588,ต.สมสะอาด
res_subdistrict_4929,ต.เมืองเดช
res_subdistrict_5063,ต.แก้ง
res_subdistrict_5458,ต.โนนสมบูรณ์
res_subdistrict_3917,ต.หนองกุง
res_subdistrict_67,ต.กลางใหญ่
res_subdistrict_210,ต.ก่อเอ้
res_subdistrict_522,ต.ค้อทอง
res_subdistrict_663,ต.ชีทวน
res_subdistrict_1481,ต.ท่าไห
res_subdistrict_1509,ต.ธาตุน้อย
res_subdistrict_1565,ต.นาคำใหญ่
res_subdistrict_2485,ต.บ้านไทย
res_subdistrict_3049,ต.ยางขี้นก
res_subdistrict_3641,ต.สร้างถ่อ
res_subdistrict_3677,ต.สหธาตุ
res_subdistrict_4177,ต.หนองเหล่า
res_subdistrict_4312,ต.หัวดอน
res_subdistrict_4740,ต.เขื่องใน
res_subdistrict_5099,ต.แดงหม้อ
res_subdistrict_79,ต.กองโพน
res_subdistrict_1607,ต.นาตาล
res_subdistrict_2849,ต.พะลาน
res_subdistrict_2865,ต.พังเคน
res_subdistrict_114,ต.กาบิน
res_subdistrict_272,ต.ข้าวปุ้น
res_subdistrict_3996,ต.หนองทันน้ำ
res_subdistrict_5057,ต.แก่งเค็ง
res_subdistrict_5460,ต.โนนสวาง
res_subdistrict_3831,ต.สำโรง
res_subdistrict_3047,ต.ยาง
res_subdistrict_4112,ต.หนองสิม
res_subdistrict_4234,ต.หนองไฮ
res_subdistrict_1564,ต.นาคำ
res_subdistrict_1506,ต.ธาตุ
res_subdistrict_4317,ต.หัวนา
res_subdistrict_5558,ต.โพนแพง
res_subdistrict_152,ต.กุดชมภู
res_subdistrict_815,ต.ดอนจิก
res_subdistrict_1128,ต.ทรายมูล
res_subdistrict_2430,ต.บ้านแขม
res_subdistrict_2887,ต.พิบูล
res_subdistrict_3112,ต.ระเว
res_subdistrict_4030,ต.หนองบัวฮี
res_subdistrict_4563,ต.อ่างศิลา
res_subdistrict_5411,ต.โนนกลาง
res_subdistrict_5413,ต.โนนกาหลง
res_subdistrict_5695,ต.ไร่ใต้
res_subdistrict_185,ต.กุดเรือ
res_subdistrict_1699,ต.นาห่อม
res_subdistrict_1707,ต.นาเกษม
res_subdistrict_4152,ต.หนองอ้ม
res_subdistrict_5329,ต.โคกชำแระ
res_subdistrict_5320,ต.โคกก่อง
res_subdistrict_3807,ต.สารภี
res_subdistrict_240,ต.ขามป้อม
res_subdistrict_523,ต.ค้อน้อย
res_subdistrict_1854,ต.บอน
res_subdistrict_5414,ต.โนนกาเล็น
res_subdistrict_1743,ต.นาแวง
res_subdistrict_4000,ต.หนองนกทา
res_subdistrict_4651,ต.เขมราฐ
res_subdistrict_4761,ต.เจียด
res_subdistrict_5066,ต.แก้งเหนือ
res_subdistrict_879,ต.ดอนใหญ่
res_subdistrict_1060,ต.ตาเกา
res_subdistrict_5660,ต.ไพบูลย์
res_subdistrict_1336,ต.ท่าช้าง
res_subdistrict_435,ต.คอแลน
res_subdistrict_2448,ต.บ้านแมด
res_subdistrict_4107,ต.หนองสะโน
res_subdistrict_4403,ต.ห้วยข่า
res_subdistrict_5423,ต.โนนค้อ
res_subdistrict_440,ต.คันไร่
res_subdistrict_466,ต.คำเขื่อนแก้ว
res_subdistrict_690,ต.ช่องเม็ก
res_subdistrict_1776,ต.นิคมสร้างตนเองลำโดมน้อย
res_subdistrict_2745,ต.ฝางคำ
res_subdistrict_5416,ต.โนนก่อ
res_subdistrict_443,ต.คำขวาง
res_subdistrict_450,ต.คำน้ำแซบ
res_subdistrict_1404,ต.ท่าลาด
res_subdistrict_2175,ต.บุ่งหวาย
res_subdistrict_2178,ต.บุ่งไหม
res_subdistrict_3468,ต.วารินชำราบ
res_subdistrict_3624,ต.สระสมิง
res_subdistrict_3915,ต.หนองกินเพล
res_subdistrict_4401,ต.ห้วยขะยุง
res_subdistrict_4920,ต.เมืองศรีไค
res_subdistrict_5446,ต.โนนผึ้ง
res_subdistrict_5486,ต.โนนโหนน
res_subdistrict_464,ต.คำหว้า
